系所名稱,109學年修讀輔系人次小計,109學年科系總人數,108學年修讀輔系人次小計,108學年科系總人數
教育學系,154,267,150,260
特殊教育學系,37,167,27,172
學習科學學士學位學程,5,61,5,48
公民教育與活動領導學系,54,364,54,354
社會教育學系,39,227,26,208
健康促進與衛生教育學系,18,172,19,151
人類發展與家庭學系,39,308,44,320
工業教育學系,13,144,17,146
體育學系,7,257,5,257
教育學院學士班,12,44,,
科技應用與人力資源發展學系,9,234,2,222
設計學系,6,161,8,153
美術學系,9,195,11,182
音樂學系,14,281,5,268
表演藝術學士學位學程,10,86,15,72
歷史學系,17,243,17,235
英語學系,24,309,46,314
華語文教學系,45,418,13,382
臺灣語文學系,9,88,46,93
國文學系,36,451,24,444
教育心理與輔導學系,17,182,25,190
地理學系,27,317,21,307
東亞學系,20,219,2,195
圖文傳播學系,4,183,11,181
企業管理學系,20,241,7,228
生命科學系,23,256,2,233
營養科學學士學位學程,4,93,14,55
化學系,23,306,6,316
地球科學系,7,156,12,155
物理學系,12,263,17,246
數學系,17,387,5,372
資訊工程學系,4,245,6,209
電機工程學系,7,194,3,177
光電工程學士學位學程,4,45,6,29
機電工程學系,3,215,1,202
車輛與能源工程學士學位學程,3,75,1,50
運動競技學系,1,281,,279
